nama;harga;lokasi;toko;rating;terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
LENOVO IdeaPad Gaming 3 15ACH6 82K2027FID Ryzen 5 5500H 8GB 512GB 2050;Rp9.925.000;Malang;alibabastore.id;;
"Acer Nitro V15 i5 13420H - RTX2050 8/512GB W11 OHS 15.6""144Hz ANV15-51";Rp10.949.000;Jakarta Selatan;Digitalzone Poins;5.0;1 terjual
Acer Nitro AN515-57 Intel Core i5-11400H NVIDIA RTX 3050 Ram 8/512 GB;Rp8.400.000;Tangerang;CamlayStore;;
Lenovo IdeaPad Gaming 3 15ARH7 R5-6600H 8GB 512GB SSD W11+OHS RTX 3050;Rp13.500.000;Cirebon;Lenovo Authorized Cirebon;5.0;3 terjual
"Acer Nitro V ANV15-51 i5 13420H 8GB SSD 512GB RTX2050 15.6"" W11+OHS";Rp11.210.000;Semarang;ELS Computer - Semarang;;2 terjual
LENOVO Legion Slim 5 16APH8 44ID R7-7840HS 16GB 512GB SSD RTX4060 8GB;Rp22.999.000;Jakarta Selatan;TIST Online;5.0;1 terjual
ASUS ROG STRIX G713IC 144Hz RTX3050 - RYZEN 7 4800 8GB 512ssd W10+OHS;Rp17.399.000;Jakarta Utara;ALIENWARE OFFICIAL;;1 terjual
IdeaPad Gaming 3i 15IAH7-82S900F1ID /Core i5-12500H/8GB/512GB/RTX3050;Rp14.800.000;Malang;Dklaptop;5.0;2 terjual
Lenovo Ideapad Slim 5i 14 i5 1135G7 8GB 512ssd W10+OHS 14.0FHD IPS 2Yr;Rp8.749.000;Jakarta Utara;ROGS STORE;5.0;30+ terjual
Lenovo Ideapad Slim 5i i7-13620H 512GB SSD 16GB OLED Win11+OHS;Rp13.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
"Lenovo IdeaPad Duet 3 N200 8GB 265GB INTEL UHD 11.5"" 2K TOUCH W11 OHS";Rp8.899.000;Jakarta Pusat;Protech Computer;;
Laptop Lenovo IdeaPad Slim 3i i3-1215U 512GB SSD 8GB Win11+OHS;Rp6.499.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;250+ terjual
Lenovo Ideapad Slim 1 15 intel i5 1235U 20Gb 512Gb SSD FHD Win11 Cloud Grey;Rp6.099.000;Bekasi;KLIK Tech;5.0;1 terjual
Lenovo Legion Slim 5 16APH8 | Ryzen 7 7840HS 16GB 512GB SSD RTX4050;Rp20.299.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;5.0;3 terjual
Lenovo IdeaPad Gaming 3 15IAH7 i5-12450 8GB 512GB SSD W11+OHS RTX 3050;Rp13.500.000;Cirebon;Lenovo Authorized Cirebon;5.0;4 terjual
"Lenovo IdeaPad Slim 3 14AMN8 RYZEN 5-7520U 8GB 512GB 14"" FHD OHS W11";Rp8.149.000;Jakarta Pusat;Protech Computer;4.9;26 terjual
