nama;harga;lokasi;toko;rating;terjual
"ACER NITRO V 15 - RTX2050 I5 13420H 8/16GB 512GB w11 ohs 15"" 144Hz";Rp10.649.000;Jakarta Utara;Intel Gaming ID;5.0;100+ terjual
"LENOVO LEGION 5i 15 RTX3060 CORE I7 12700H 32GB 1TB SSD 15""FHD 165Hz";Rp16.999.000;Jakarta Utara;ROGS STORE;5.0;4 terjual
ASUS TUF Gaming A15 FA506NF-R525B3T-O - Graphite Black;Rp11.319.000;Dilayani Tokopedia;Asus Official Store;4.8;10 terjual
Laptop ACER ASPIRE 7 GAMING A715-76G-54XS CORE i5-12450H GTX1650 8GB ;Rp10.299.000;Jakarta Pusat;tokoJBC;5.0;14 terjual
ASUS TUF GAMING F15 FX506HF-I525B6T-O - Graphite Black;Rp11.069.000;Jakarta Timur;Asus Official Store;5.0;19 terjual
"Acer predator helios neo 16 RTX4060 i7-13700HX 16GB 1TB w11 16"" 165hz";Rp22.799.000;Jakarta Utara;Intel Gaming ID;4.9;500+ terjual
Lenovo Gaming LOQ 15 Ryzen 7 7840Hs 16GB 512GB RTX 3050 6GB Win 11 OHS;Rp12.799.000;Jakarta Pusat;NOTEBOOK GAMING ID;5.0;4 terjual
DELL GAMING G15 5530 i7 13650 RTX4060 8GB/ 16GB 1TB W11 15.6FHD;Rp18.299.000;Jakarta Utara;Gaming Laptop ID;5.0;6 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB Win11+OHS;Rp12.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;100+ terjual
ACER PREDATOR HELIOS NEO 16 I9 13900HX RTX4060 16GB 1TB WQXGA W11+OHS;Rp24.799.000;Jakarta Pusat;Protech Computer;5.0;6 terjual
ACER Predator Helios Neo 16 71 55MQ RTX4050 i5 13500HX 8/512SSD 165Hz;Rp16.499.000;Jakarta Utara;Acer Authorized Store Jakarta;4.9;100+ terjual
DELL ALIENWARE M16 i7 13700HX 32GB 1TB RTX4070 8GB W11 16.0QHD 165Hz;Rp24.999.000;Jakarta Utara;Top Tech;5.0;9 terjual
LENOVO LEGION GO AMD Z1 EXTREME 16GB 512 SSD 8.8 QHD 144HZ Win 11 ;Rp13.499.000;Jakarta Pusat;Lenovo Legion Official;5.0;250+ terjual
Victus Gaming Laptop 15 AMD Ryzen 5 7535 32GB 1TB SSD RTX 2050 W 11;Rp9.749.000;Jakarta Pusat;ROGZ Online;4.8;5 terjual
Acer Nitro v 15 RTX 4060 Core I9 Gen 13900H 32GB 1TB SSD W 11 + OHS;Rp18.699.000;Jakarta Pusat;ROGZ Online;5.0;1 terjual
ASUS ROG ZEPHYRUS G14 GA401QH RYZEN 7 5800HS 8GB 512GB GTX1650 4GB OHS;Rp13.999.000;Jakarta Utara;ROGS STORE;4.8;21 terjual
Hp Gaming Pavilion 15-dk0042TX, Core I7- 9750H, Gen 9Th, 8/1Tb;Rp8.850.000;Jakarta Barat;dr.com komputer;5.0;6 terjual
LENOVO LEGION GO AMD Z1 EXTREME 16GB 1T/512 8.8QHD 144HZ Win 11;Rp13.499.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;100+ terjual
ACER NITRO V15 ANV15-51-542G NH.QNASN.001 GeForce RTX™ 2050 - i5-13420;Rp10.889.000;Tangerang Selatan;IT Galeri;5.0;1 terjual
Asus ROG Zephyrus G16 GU605MZ OLED RTX4080 12GB Ultra 9-185H 32GB 2TB;Rp53.489.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;10 terjual
ACER Gaming NITRO 5-AN515-52, i7-8750H, 8/1Tb, GTX 1050Ti 4Gb, Mulus;Rp8.100.000;Jakarta Barat;dr.com komputer;5.0;3 terjual
ASUS ROG STRIX G15 G513QY RYZEN 9 5900HX 64GB 1T RX6800M 12GB 300Hz;Rp15.999.000;Jakarta Utara;Top Tech;4.2;5 terjual
ASUS ROG STRIX G18 G814JZ RTX4080 12GB - i9 13980HX 64GB 1T W11 18QHD ;Rp37.699.000;Jakarta Utara;Top Tech;5.0;4 terjual
Lenovo Legion Pro 5i RTX 4060 8Gb i7 13700HX 32Gb 1Tb SSD W 11 165Hz;Rp21.499.000;Jakarta Pusat;ROGZ Online;5.0;12 terjual
ASUS ROG ZEPHYRUS G16 GU603VV I7 13620 RTX4060 32GB 1TB W11 16.0 165HZ;Rp21.439.000;Jakarta Utara;ProStoreComputer;4.9;90+ terjual
DELL ALIENWARE M18 I9 13900 RTX4080 12GB/ 32GB 1TB W11 18.0FHD;Rp41.499.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;2 terjual
HP PAVILION GAMING 15 - EC2047AX RYZEN 5 5600H 16GB 512SSD GTX1650 4GB;Rp11.299.000;Jakarta Pusat;HOSANA COMPUTER;5.0;1 terjual
LENOVO GAMING LOQ 15IRH8 i5-12450H 16G 512GB RTX3050 4GB OHS W11;Rp12.989.000;Jakarta Pusat;Protech Computer;4.9;40+ terjual
HP VICTUS GAMING 15 FB0012AX RYZEN 7 5800H 16GB 512SSD RTX3050TI W11;Rp12.199.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;2 terjual
Asus TUF Gaming FX505DY/ Amd Ryzen 5-3550H/ DualVga/ 8/1Tb;Rp6.850.000;Jakarta Barat;dr.com komputer;5.0;8 terjual
Asus ROG Zephyrus G16 GU605MI OLED RTX4070 8GB Ultra 9 185H 32GB 1TB;Rp41.499.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;10 terjual
